timestamp,clients,jobs,duration_s,tps_including,tps_excluding,latency_ms_avg,tx_processed,return_code,error,avg_cpu_percent,max_cpu_percent,avg_memory_percent,max_memory_percent,avg_memory_used_gb
2025-12-20T19:26:50,350,4,60,1405.930351,1405.962754,56.485,84463,0,,84.83,97.4,74.15,78.0,2.325
2025-12-20T19:27:54,350,4,60,1477.05372,1477.082953,52.976,88736,0,,81.55,94.7,64.3,68.8,2.004
2025-12-20T19:28:59,380,4,60,1505.284052,1505.314271,56.474,90437,0,,80.69,95.0,57.58,59.4,1.746
2025-12-20T19:30:03,380,4,60,,,,0,0,,22.9,22.9,46.0,46.0,1.304
2025-12-20T19:30:06,400,4,60,1572.345885,1572.376575,56.973,94499,0,,81.69,97.5,51.4,52.1,1.509
2025-12-20T19:31:11,400,4,60,1539.661038,1539.690269,58.557,92558,0,,81.71,97.4,50.19,50.8,1.462
